,Ticker,Company,Market Cap,Sector,Industry,Country,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility M,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Scale (billion $),Labor Cost (billion $),Operating Leverage (DOL),C-Suite Diversity,Technological Enabler,ESG Score,Earnings,Price,Target Price
1760,CVR,Chicago Rivet & Machine Co.,24.94M,Industrials,Tools & Accessories,USA,-,-,0.73,0.87,5.31,-,3.39%,76.40%,-,-,-13.90%,-,-1.70%,-82.50%,-7.20%,19.04%,0.00%,23.20%,-0.89%,0.33,3.40%,3.80%,3.60%,10.3,5.8,0,0,19.00%,4.10%,3.30%,-5.46%,0.39%,-1.81%,-7.38%,-1.12%,2.79%,-4.37%,-3.12%,-1.83%,-20.88%,13.21%,39.72,0.02,0.01,3.5,30,Industry 4.0,48.48,-,26.01,-
1764,CVU,"CPI Aerostructures, Inc.",35.56M,Industrials,Aerospace & Defense,USA,7.38,4.1,0.35,-,-,-,-,-,418.20%,11.40%,3.17%,9.00%,-,-,82.80%,7.68%,0.00%,35.65%,-,0.95,-,-,-,-,-,-,-,-,-,-,8.68%,5.88%,3.23%,-37.66%,5.49%,6.75%,-4.54%,8.72%,-0.32%,-42.16%,32.55%,48.98,0.04,0.01,1.4,29,Industry 3.0,52.18,-,2.86,4
1765,CVV,CVD Equipment Corporation,31.46M,Industrials,Specialty Industrial Machinery,USA,-,-,2.11,1.05,1.81,-,-,-,-,-,43.14%,-,-4.70%,557.80%,7.50%,15.51%,0.00%,18.90%,3.57%,1.06,-17.10%,-26.20%,-,4.1,3.9,0,0.06,12.10%,-47.10%,-44.50%,9.83%,14.58%,6.16%,11.63%,15.41%,5.47%,12.76%,9.38%,7.94%,-23.51%,27.54%,66,0.03,0.01,3.5,28,Industry 3.0,60.92,Mar 31/a,4.87,-
1768,CW,Curtiss-Wright Corporation,5.72B,Industrials,Specialty Industrial Machinery,USA,17.34,-,2.28,3.26,33.46,17.61,0.47%,10.60%,37.20%,7.12%,9.40%,-,3.50%,49.50%,-0.20%,0.30%,-26.87%,82.70%,-7.98%,3.57,6.60%,14.30%,10.20%,1.8,1.2,0.58,0.58,37.20%,15.30%,10.70%,-2.37%,10.11%,17.82%,23.98%,9.75%,2.91%,1.17%,6.51%,16.90%,-6.08%,37.58%,56.06,5.72,1.54,1.5,16,Industry 4.0,58.89,Feb 23/a,153.07,168.33
1782,CYRX,"Cryoport, Inc.",1.81B,Industrials,Integrated Freight & Logistics,USA,1510,-,8.13,2.76,2.88,-,-,-,-217.70%,44.60%,-55.70%,-,105.20%,-302.00%,16.50%,1.20%,-53.93%,92.60%,5.17%,6,-31.70%,-44.40%,-26.20%,16.3,15.9,0.64,0.64,43.40%,-,-,10.19%,-36.11%,-41.34%,-29.48%,-38.75%,6.02%,4.16%,-3.57%,-40.05%,-60.73%,26.98%,49.06,1.81,0.39,1.1,21,Industry 4.0,47.03,Feb 24/a,33.89,71.33
1794,DAC,Danaos Corporation,1.99B,Industrials,Marine Shipping,Greece,3.8,0.64,2.88,0.95,15.37,38.39,3.07%,2.90%,693.00%,2.93%,25.40%,3.00%,6.70%,288.80%,79.80%,58.70%,0.00%,25.00%,3.75%,0.34,30.80%,59.50%,14.50%,2,1.9,0.49,0.53,76.80%,68.10%,-,9.72%,34.19%,37.71%,85.06%,30.77%,4.62%,-6.79%,-2.10%,18.12%,-12.53%,101.52%,40.62,1.99,0.68,3.9,19,Industry 3.0,74.64,Feb 07/a,94.01,122.5
1798,DAL,"Delta Air Lines, Inc.",25.38B,Industrials,Airlines,USA,7.2,7.15,0.85,6.45,2.24,15.22,-,0.00%,102.20%,267.32%,-39.90%,13.31%,-5.40%,46.00%,138.40%,0.30%,-0.18%,64.20%,-1.03%,1.32,0.40%,13.50%,4.70%,0.8,0.7,6.47,6.93,38.60%,5.20%,0.90%,14.14%,-2.21%,-12.37%,-23.72%,0.82%,4.29%,7.97%,1.66%,-2.13%,-24.24%,31.97%,56.65,25.38,6.36,0.8,26,Industry 3.0,54.92,Apr 13/b,39.26,49.94
1842,DCFC,Tritium DCFC Limited,1.57B,Industrials,Electrical Equipment & Parts,Australia,-,-,27.94,-,-,-,-,-,-,67.00%,-,-,-,-,-,16.28%,0.00%,26.20%,-,0.37,-,-,-,-,-,-,-,-,-,-,34.69%,2.91%,3.64%,4.42%,2.81%,7.23%,18.10%,20.03%,6.11%,-49.06%,56.70%,62.41,1.57,0.36,3.3,20,Industry 3.0,50.89,-,10.06,14.8
1844,DCI,"Donaldson Company, Inc.",6.26B,Industrials,Specialty Industrial Machinery,USA,17,2.07,2.02,5.73,36.77,57.69,1.70%,34.30%,11.70%,12.36%,9.60%,10.00%,5.10%,30.40%,18.20%,0.20%,-5.62%,83.00%,1.15%,2.25,13.10%,28.10%,17.60%,2.1,1.3,0.5,0.55,33.30%,13.70%,10.20%,1.83%,-11.94%,-11.23%,-12.64%,-12.86%,2.38%,-0.21%,-2.33%,-12.64%,-25.08%,7.09%,46.9,6.26,1.35,3.8,27,Industry 4.0,47.19,Mar 02/b,51.96,63
1845,DCO,Ducommun Incorporated,628.05M,Industrials,Aerospace & Defense,USA,13.41,0.31,0.97,1.34,8.23,-,-,0.00%,352.50%,24.96%,37.70%,15.80%,3.20%,47.40%,4.40%,6.30%,-1.57%,86.50%,2.35%,3.88,15.60%,35.80%,1.80%,3,2.1,0.59,0.6,22.10%,7.60%,21.00%,6.29%,11.82%,4.50%,-16.32%,14.09%,2.47%,0.50%,8.49%,5.93%,-19.77%,28.53%,55.87,0.63,0.19,1.3,16,Industry 4.0,68.05,Feb 23/a,52.47,64
1864,DE,Deere & Company,127.66B,Industrials,Farm & Heavy Construction Machinery,USA,16.06,1.54,2.87,7.21,28.55,42.3,1.01%,19.90%,118.60%,14.40%,31.60%,15.01%,10.50%,-24.60%,5.00%,0.20%,-9.04%,78.00%,-0.15%,1.2,7.00%,33.70%,10.20%,-,-,1.84,2.66,32.70%,18.30%,12.70%,7.02%,19.23%,23.35%,11.14%,21.74%,3.65%,2.31%,7.72%,14.72%,-4.79%,30.11%,58.56,127.66,35.25,3.1,30,Industry 4.0,60.55,Feb 18/b,417.0,434.16
1905,DGLY,"Digital Ally, Inc.",58.45M,Industrials,Security & Protection Services,USA,-,0.11,4.71,1.02,1.44,-,-,0.00%,86.10%,-156.50%,46.50%,20.00%,-12.10%,686.20%,27.80%,5.90%,0.00%,10.00%,-5.58%,15.2,34.40%,57.00%,-43.10%,2.1,1.7,0.01,0.09,37.40%,-75.90%,-,11.00%,0.00%,0.00%,-35.84%,3.74%,4.98%,3.17%,4.68%,-11.79%,-50.67%,17.97%,55.02,0.06,0.02,3.0,15,Industry 4.0,64.94,-,1.1,3.75
1930,DHX,"DHI Group, Inc.",291.19M,Industrials,Staffing & Employment Services,USA,60.4,-,2.43,2.34,-,20.36,-,-,98.70%,270.37%,40.00%,15.10%,-12.00%,-74.80%,24.80%,11.40%,0.00%,75.70%,1.06%,4.78,-13.10%,-24.10%,-0.80%,0.4,0.4,0.2,0.2,87.40%,-1.50%,-24.80%,5.04%,-1.31%,28.78%,85.85%,-3.21%,3.66%,2.50%,5.51%,22.92%,-8.71%,119.64%,55.93,0.29,0.08,1.4,29,Industry 3.0,61.08,Feb 08/a,6.04,8.83
1967,DLHC,DLH Holdings Corp.,240.03M,Industrials,Specialty Business Services,USA,-,1.06,0.7,3.28,57.15,-,-,0.00%,37.40%,-,19.90%,15.50%,23.50%,304.60%,163.90%,6.50%,-2.96%,63.10%,-1.61%,2.22,8.60%,24.70%,12.60%,1,1,0.55,0,17.50%,7.30%,4.70%,9.11%,-1.75%,53.01%,78.71%,-8.06%,4.54%,6.73%,9.70%,29.67%,-11.77%,89.51%,58.58,0.24,0.07,0.9,24,Industry 3.0,61.03,Jan 31/a,18.96,21
2017,DOOR,Masonite International Corporation,2.00B,Industrials,Building Products & Equipment,USA,7.58,0.45,0.77,2.97,5.23,28.59,-,0.00%,39.00%,14.27%,3.90%,50.00%,5.60%,-197.00%,2.80%,0.60%,-5.11%,-,-2.92%,6.57,4.30%,13.10%,10.20%,2.9,2,1.26,1.26,23.60%,7.90%,3.60%,-9.23%,-27.37%,-21.52%,-31.31%,-28.07%,3.55%,-12.66%,-14.47%,-25.15%,-38.31%,-3.27%,30.98,2.0,0.45,3.5,29,Industry 3.0,48.96,Feb 21/a,81.56,137.38
2020,DOV,Dover Corporation,22.52B,Industrials,Specialty Industrial Machinery,USA,16.69,1.41,2.85,5.43,58.42,34.25,1.27%,25.50%,64.60%,10.00%,19.30%,14.50%,5.50%,99.50%,11.70%,0.40%,-9.01%,86.20%,1.01%,1.52,11.50%,29.40%,16.50%,1.4,0.8,0.72,0.75,37.70%,18.80%,14.20%,4.63%,-11.44%,1.24%,13.19%,-13.03%,2.02%,-0.25%,-2.43%,-6.01%,-15.39%,13.13%,45.89,22.52,5.67,3.2,15,Industry 3.0,55.18,Jan 27/b,155.72,195.13
2026,DPRO,Draganfly Inc.,96.87M,Industrials,Aerospace & Defense,Canada,-,-,14.04,1.74,3.46,-,-,-,55.30%,-,-,-,-,561.10%,26.70%,4.46%,0.00%,3.13%,-,0.04,-84.20%,-333.60%,-204.50%,2.1,1.9,0.01,0.01,34.00%,-,-,89.68%,38.15%,-30.10%,-72.45%,46.63%,14.85%,19.67%,51.30%,-25.57%,-76.85%,121.21%,63.38,0.1,0.02,2.4,22,Industry 4.0,54.6,-,2.28,-
2045,DRTT,DIRTT Environmental Solutions Ltd.,110.93M,Industrials,Engineering & Construction,Canada,-,-,0.75,1.35,-,-,-,-,-,-,-,-,-,-,1.70%,14.13%,6.01%,77.52%,-,20.28,-,-,-,-,-,-,-,-,-,-,-23.98%,-38.53%,-56.23%,-61.08%,-40.37%,6.91%,-16.16%,-20.91%,-54.35%,-74.34%,0.00%,25.59,0.11,0.02,3.1,29,Industry 3.0,46.01,Feb 23/a,1.27,-
2057,DSKE,"Daseke, Inc.",623.29M,Industrials,Trucking,USA,7.53,0.52,0.4,5.22,4.23,6.85,-,0.00%,3500.00%,8.33%,24.20%,25.00%,19.00%,61.30%,17.50%,3.50%,-2.07%,44.70%,14.94%,3.76,4.70%,54.40%,12.40%,1.6,1.6,4.79,5.29,54.40%,7.20%,3.30%,-24.21%,-8.55%,-1.17%,10.45%,-7.37%,4.61%,-22.29%,-23.57%,-10.68%,-35.36%,51.69%,25.3,0.62,0.17,1.9,28,Industry 3.0,59.96,Jan 25/b,8.51,13.5
2062,DSS,"DSS, Inc.",48.75M,Industrials,Specialty Business Services,USA,-,-,2.55,0.25,0.71,-,-,-,119.40%,11.10%,15.10%,-,-0.10%,-113.60%,24.30%,27.84%,0.00%,8.60%,-25.60%,0.64,-12.10%,-14.20%,-10.60%,7.7,7.5,0.04,0.04,28.60%,-,-,45.89%,-17.09%,-48.87%,-83.41%,-7.93%,12.60%,5.38%,29.70%,-37.15%,-83.66%,89.70%,56.56,0.05,0.01,2.0,29,Industry 4.0,48.37,-,0.63,5
2066,DSX,Diana Shipping Inc.,478.25M,Industrials,Marine Shipping,Greece,4.25,1.64,2.23,1.01,3.77,5.33,5.92%,99.40%,137.40%,-20.00%,18.00%,5.00%,13.40%,565.50%,61.10%,17.80%,0.00%,19.90%,-10.25%,1.91,6.00%,12.60%,7.70%,-,-,1.08,0,62.50%,29.20%,24.10%,1.40%,19.86%,-0.17%,81.88%,30.33%,6.81%,0.38%,11.00%,14.26%,-14.29%,87.97%,52.43,0.48,0.16,2.9,27,Industry 3.0,74.11,Feb 25/b,5.01,7.02
2124,DXPE,"DXP Enterprises, Inc.",501.84M,Industrials,Industrial Distribution,USA,16.59,1.64,0.45,1.41,7.97,-,-,-,-182.60%,84.27%,9.20%,20.00%,-4.20%,124.50%,-62.50%,15.80%,-0.21%,70.50%,-1.73%,6.13,-,-,-1.00%,2.2,1.6,0.87,0.88,29.50%,-,-,-8.66%,5.63%,-12.54%,-11.20%,5.96%,4.65%,-7.79%,-5.85%,-8.58%,-24.61%,17.18%,41.39,0.5,0.12,2.0,18,Industry 4.0,52.45,-,27.34,40
2127,DY,"Dycom Industries, Inc.",2.76B,Industrials,Engineering & Construction,USA,18.35,2.98,0.88,3.74,8.88,18.19,-,0.00%,59.40%,59.01%,-20.40%,20.00%,0.40%,112.00%,1.40%,2.70%,0.00%,96.50%,-2.19%,4.01,2.20%,6.10%,4.80%,3.6,3.3,1.09,1.11,15.90%,2.60%,1.60%,3.70%,-1.61%,31.65%,3.10%,0.52%,3.55%,-4.64%,0.44%,12.34%,-12.51%,46.48%,43.92,2.76,0.65,0.8,15,Industry 4.0,51.65,Mar 02/b,92.11,118
2140,EAF,GrafTech International Ltd.,2.58B,Industrials,Electrical Equipment & Parts,USA,5.66,-,1.91,110,44.81,6.75,0.40%,2.70%,-10.10%,-2.89%,43.30%,-5.87%,25.20%,15.20%,7.50%,0.10%,-2.16%,98.20%,-1.77%,2.25,27.80%,-312.10%,41.80%,2.7,1.4,44,44,47.90%,37.80%,28.90%,1.33%,-16.53%,-3.13%,-21.80%,-16.31%,3.91%,-3.49%,-3.92%,-12.54%,-32.09%,5.25%,43.8,2.58,0.67,0.8,30,Industry 4.0,56.68,Feb 04/b,9.62,12.14
2154,EBF,"Ennis, Inc.",479.49M,Industrials,Business Equipment & Supplies,USA,13.23,3.55,1.23,1.59,5.92,29.6,5.36%,90.10%,-37.00%,15.57%,-5.90%,5.00%,-1.50%,-9.70%,11.50%,4.74%,0.00%,75.60%,0.01%,6.84,7.40%,9.00%,8.90%,4.2,3.2,0,0,29.20%,10.90%,7.00%,-1.43%,-5.52%,-3.72%,-14.33%,-4.51%,1.84%,0.79%,-0.34%,-3.86%,-15.27%,5.33%,50.02,0.48,0.11,2.2,20,Industry 3.0,48.75,-,18.59,24
2172,ECOL,"US Ecology, Inc.",1.51B,Industrials,Waste Management,USA,43.17,56.71,1.53,2.39,22.36,31.7,-,0.00%,101.40%,76.47%,-35.90%,5.00%,15.60%,103.80%,8.40%,1.00%,0.00%,94.70%,-0.02%,3.26,0.30%,0.90%,2.10%,1.9,1.9,1.2,1.21,23.60%,3.40%,0.50%,0.59%,50.41%,44.56%,13.29%,50.03%,0.53%,0.83%,12.13%,31.54%,-0.16%,82.58%,74.42,1.51,0.37,2.5,31,Industry 4.0,53.73,-,47.94,47
2192,EDRY,EuroDry Ltd.,112.42M,Industrials,Marine Shipping,Greece,2.22,-,1.75,1.36,4.19,2.88,-,0.00%,452.20%,5.04%,35.50%,-,52.20%,2143.20%,248.40%,44.11%,0.00%,11.90%,-29.30%,0.59,21.20%,53.00%,23.60%,1.7,1.7,0.82,1,78.90%,57.90%,45.60%,38.56%,92.01%,28.83%,346.82%,99.47%,9.16%,18.75%,37.46%,41.01%,-7.11%,369.41%,63.62,0.11,0.04,4.0,22,Industry 4.0,83.22,Feb 09/a,35.52,45.51
2211,EFX,Equifax Inc.,29.19B,Industrials,Consulting Services,USA,23,2.76,5.93,8,129.9,43.19,0.67%,25.60%,42.20%,17.04%,8.30%,14.10%,9.40%,38.80%,12.10%,0.30%,-4.90%,92.20%,-0.31%,2.14,7.20%,21.40%,10.60%,0.5,0.5,1.25,1.48,59.80%,23.10%,15.10%,3.00%,-17.43%,-7.46%,26.74%,-19.91%,2.54%,-0.06%,1.99%,-9.08%,-22.09%,29.29%,50.17,29.19,7.02,2.9,32,Industry 3.0,52.72,Mar 24/a,233.82,287.17
2217,EGLE,Eagle Bulk Shipping Inc.,877.40M,Industrials,Marine Shipping,USA,4.54,-,1.48,1.26,10.19,4.19,12.24%,13.80%,446.60%,-15.97%,16.60%,-,36.70%,-,145.60%,2.20%,-5.29%,71.50%,-3.88%,3.72,16.80%,32.40%,24.30%,1.3,1.1,0.49,0.57,64.90%,43.00%,31.10%,18.08%,42.29%,30.97%,89.56%,43.69%,5.81%,0.30%,15.02%,36.08%,-9.34%,92.09%,54.94,0.88,0.32,1.4,35,Industry 3.0,80.6,Mar 03/a,64.35,71.8
2224,EH,EHang Holdings Limited,701.26M,Industrials,Aerospace & Defense,China,-,-,77.92,14.82,14.25,-,-,-,-247.50%,57.90%,-,-,-,-107.00%,-84.10%,1.04%,0.00%,29.30%,19.56%,8.66,-49.80%,-72.00%,-88.30%,3.5,2.9,0.05,0.09,63.40%,-,-,13.30%,-14.33%,-36.93%,-63.61%,-8.65%,10.14%,9.23%,-6.91%,-40.22%,-72.62%,68.19%,50.73,0.7,0.16,2.0,25,Industry 3.0,49.6,Mar 29/b,12.97,15
2271,EME,"EMCOR Group, Inc.",5.82B,Industrials,Engineering & Construction,USA,13.67,15.81,0.59,2.65,7.08,22.87,0.47%,7.30%,194.20%,6.80%,18.50%,1.00%,5.60%,30.90%,15.70%,1.70%,0.00%,96.30%,-0.79%,3.3,7.30%,17.80%,15.30%,1.4,1.4,0.11,0.12,15.20%,5.40%,3.90%,-2.83%,-12.33%,-6.76%,-2.57%,-12.35%,2.30%,-2.41%,-2.51%,-6.29%,-16.95%,4.76%,44.36,5.82,1.33,4.0,21,Industry 4.0,49.98,Feb 24/b,112.93,142
2278,EML,The Eastern Company,145.75M,Industrials,Tools & Accessories,USA,-,-,0.59,1.28,-,-,1.89%,29.50%,46.70%,-,15.70%,-,12.40%,25.40%,17.80%,4.70%,22.53%,62.80%,8.28%,4.65,3.30%,8.40%,7.70%,2.5,1.2,0.56,0.65,23.00%,7.10%,3.80%,-7.42%,-6.98%,-7.24%,-13.63%,-6.98%,3.20%,-0.73%,-2.66%,-9.86%,-30.79%,1.95%,44.55,0.15,0.03,1.2,30,Industry 3.0,50.84,-,23.5,-
2286,EMR,Emerson Electric Co.,58.17B,Industrials,Specialty Industrial Machinery,USA,18.07,2.08,3.14,5.7,12.31,38.75,2.10%,44.00%,18.10%,8.48%,9.30%,10.31%,4.70%,102.60%,7.50%,0.20%,-0.38%,75.00%,-0.50%,1.93,11.00%,28.60%,15.00%,2,1.6,0.85,0.85,41.30%,17.30%,14.80%,7.34%,7.13%,4.98%,7.47%,5.73%,2.37%,1.12%,3.03%,1.32%,-8.04%,12.40%,55.22,58.17,14.85,2.7,32,Industry 4.0,55.99,Feb 02/b,97.47,110.75
2299,ENG,ENGlobal Corporation,47.60M,Industrials,Engineering & Construction,USA,4,-,1.31,1.65,2.48,-,-,-,-683.60%,135.71%,-16.10%,-,-9.30%,-339.30%,-39.70%,38.30%,0.00%,12.80%,-59.21%,1.26,-14.30%,-22.00%,-28.30%,4,4,0.06,0.07,-1.80%,-23.30%,-15.60%,-12.00%,-5.04%,-56.44%,-69.93%,0.00%,13.43%,-6.83%,7.74%,-31.26%,-71.09%,77.31%,48.13,0.05,0.01,3.6,20,Industry 3.0,56.95,Mar 10/b,1.33,5.4
2308,ENR,"Energizer Holdings, Inc.",2.22B,Industrials,Electrical Equipment & Parts,USA,8.75,2.71,0.73,5.1,10.01,-,3.84%,58.70%,347.30%,12.10%,0.60%,5.70%,13.10%,-2.80%,-0.30%,0.40%,0.53%,83.30%,-5.15%,6.82,2.70%,38.00%,4.20%,1.5,0.8,8.11,8.59,39.40%,4.70%,4.60%,-1.11%,-23.16%,-21.54%,-34.14%,-21.97%,2.73%,0.96%,-7.30%,-19.38%,-40.42%,5.41%,43.56,2.22,0.49,2.9,15,Industry 3.0,48.48,Feb 07/b,30.61,41.33
2309,ENS,EnerSys,3.10B,Industrials,Electrical Equipment & Parts,USA,14.44,2.23,0.95,2.15,7.81,-,0.91%,19.90%,3.80%,20.63%,2.10%,10.00%,5.20%,-4.40%,12.40%,1.70%,-0.37%,100.00%,-1.22%,4.1,4.30%,9.70%,7.50%,3,1.9,0.79,0.81,23.10%,6.50%,4.60%,10.21%,-4.97%,1.62%,-18.22%,-2.52%,2.98%,0.04%,1.61%,-7.92%,-25.44%,10.37%,50.14,3.1,0.7,1.2,30,Industry 4.0,49.23,Feb 09/a,74.73,101.4
2321,ENVX,Enovix Corporation,2.23B,Industrials,Electrical Equipment & Parts,USA,-,-,-,6.36,5.78,-,-,-,-,-23.60%,-,-,-,-553.30%,-,0.80%,1.98%,57.90%,7.41%,3.48,-,-,-,19.3,19.3,0,0,-,-,-,10.03%,-45.88%,-24.03%,5.23%,-46.11%,7.42%,-3.67%,-7.18%,-31.84%,-64.97%,18.71%,43.89,2.23,0.47,3.3,17,Industry 4.0,46.49,-,13.83,40.4
2332,EOSE,"Eos Energy Enterprises, Inc.",241.79M,Industrials,Electrical Equipment & Parts,USA,-,-,52.56,7.17,2.31,-,-,-,-67.90%,35.50%,-,-,-,58.20%,1951.40%,2.70%,-14.95%,58.80%,7.01%,5.61,-83.20%,-190.20%,-232.10%,4.8,4.3,0.57,0.77,-,-,-,27.60%,-43.42%,-67.93%,-75.36%,-42.82%,14.94%,7.88%,16.24%,-58.41%,-80.87%,63.21%,54.07,0.24,0.05,3.8,19,Industry 3.0,49.77,Feb 25/b,4.17,13.8
2334,EPAC,Enerpac Tool Group Corp.,1.33B,Industrials,Specialty Industrial Machinery,USA,20.17,2.48,2.39,3.15,9.98,41.59,0.19%,7.00%,50.80%,24.50%,19.40%,12.20%,-14.40%,-41.20%,13.20%,1.70%,-0.47%,-,-0.63%,5.48,4.20%,8.30%,9.10%,2.7,2,0.42,0.42,45.40%,8.50%,6.20%,18.57%,3.86%,-0.32%,-18.73%,6.11%,3.35%,3.41%,13.33%,-3.21%,-26.35%,30.71%,60.61,1.33,0.3,3.5,33,Industry 4.0,49.5,Mar 23/b,21.24,20.5
2379,ERII,"Energy Recovery, Inc.",1.16B,Industrials,Pollution & Treatment Controls,USA,29.53,4.28,11.2,6.61,11.01,171.15,-,0.00%,-47.80%,63.95%,28.30%,20.00%,12.50%,49.00%,27.30%,1.90%,-4.06%,69.20%,11.10%,6,6.70%,7.90%,7.90%,7.7,6.6,0,0,68.60%,13.30%,13.70%,6.99%,-3.16%,7.76%,9.64%,-3.12%,3.04%,5.45%,7.50%,2.73%,-16.59%,27.10%,61.43,1.16,0.3,3.8,24,Industry 3.0,57.33,-,20.84,27.5
2380,ERJ,Embraer S.A.,2.38B,Industrials,Aerospace & Defense,Brazil,19.18,-,0.5,0.78,0.79,4.9,-,-,92.40%,221.86%,-19.80%,4.08%,1.10%,247.90%,-25.80%,12.40%,0.00%,39.50%,5.23%,2.64,-0.50%,-1.90%,1.80%,2.1,1.4,1.31,1.53,15.40%,4.70%,-1.20%,2.00%,-25.20%,-24.65%,28.34%,-25.24%,4.63%,2.93%,-7.54%,-18.06%,-35.39%,24.85%,47.32,2.38,0.58,3.4,17,Industry 4.0,53.73,-,12.53,22.16
2391,ESEA,Euroseas Ltd.,202.28M,Industrials,Marine Shipping,Greece,1.72,0.93,2.15,2.6,7.63,3.92,-,0.00%,938.90%,14.76%,16.80%,5.00%,35.50%,3770.00%,219.20%,34.80%,0.00%,7.10%,-37.43%,1.26,30.00%,79.00%,23.40%,0.9,0.8,1.16,1.54,94.90%,48.60%,45.00%,-3.72%,7.99%,-12.59%,153.52%,11.24%,6.88%,-6.17%,-7.89%,1.19%,-30.30%,171.37%,43.28,0.2,0.07,3.0,27,Industry 3.0,76.2,Feb 15/b,27.3,51.5
2400,ESLT,Elbit Systems Ltd.,9.59B,Industrials,Aerospace & Defense,Israel,22.91,2.63,1.86,3.86,46.9,105.51,0.85%,17.50%,3.40%,8.00%,2.60%,10.90%,8.50%,441.60%,20.20%,45.70%,0.00%,6.20%,-7.51%,1.78,3.90%,14.30%,9.80%,1.3,0.8,0.36,0.45,26.00%,8.10%,6.50%,6.47%,23.79%,51.69%,51.01%,24.36%,2.33%,1.68%,14.18%,38.44%,-7.42%,80.09%,56.35,9.59,2.4,1.8,16,Industry 4.0,54.86,Mar 29/b,221.24,157
2404,ESOA,Energy Services of America Corporation,45.43M,Industrials,Engineering & Construction,USA,-,-,0.34,1.28,4.09,-,-,0.00%,321.00%,-,25.60%,-,-4.70%,235.40%,33.40%,28.90%,0.00%,2.20%,-,0.01,16.40%,34.00%,-1.70%,1.7,1.7,0.24,0.46,11.60%,1.20%,8.00%,-11.36%,-14.15%,36.50%,37.19%,-17.27%,10.24%,-13.06%,-11.58%,11.35%,-43.57%,100.00%,39.72,0.05,0.01,2.0,33,Industry 4.0,64.78,-,2.64,2.7
2405,ESP,Espey Mfg. & Electronics Corp.,36.35M,Industrials,Electrical Equipment & Parts,USA,-,-,1.28,1.06,3.6,-,-,0.00%,-115.50%,-,-15.50%,-,0.20%,111.60%,7.10%,43.45%,-0.05%,12.90%,-2.51%,0.73,0.40%,0.50%,-0.80%,4.8,2.2,0,0,14.30%,-0.10%,0.50%,3.19%,2.58%,-3.49%,-19.48%,-5.59%,2.82%,-2.30%,-0.27%,-6.63%,-19.79%,4.15%,44.47,0.04,0.01,1.4,31,Industry 4.0,51.21,-,13.29,-
2424,ETN,Eaton Corporation plc,60.28B,Industrials,Specialty Industrial Machinery,Ireland,18.1,1.52,3.07,3.67,106.13,163.37,2.01%,56.50%,53.00%,11.32%,4.90%,18.61%,-0.10%,15.70%,2.40%,0.20%,-19.60%,82.90%,0.17%,1.92,6.20%,13.70%,9.20%,1,0.6,0.42,0.52,32.30%,15.50%,10.90%,0.76%,-10.52%,1.73%,6.94%,-12.67%,2.18%,-2.30%,-2.98%,-7.08%,-15.38%,8.10%,41.76,60.28,14.23,3.2,15,Industry 4.0,51.75,Feb 04/b,148.7,179.35
2458,EVI,"EVI Industries, Inc.",239.53M,Industrials,Industrial Distribution,USA,-,-,0.95,2.11,39.92,126.07,-,0.00%,938.60%,-,19.70%,-,46.40%,11.90%,6.10%,8.40%,-0.13%,46.00%,25.08%,20.25,4.90%,8.50%,7.30%,1.5,0.8,0.13,0,26.50%,4.90%,3.60%,7.89%,-39.65%,-31.74%,-36.72%,-39.13%,7.93%,-0.89%,-7.28%,-31.37%,-51.84%,10.78%,44.98,0.24,0.05,3.9,27,Industry 3.0,49.66,-,18.5,-
2461,EVLV,"Evolv Technologies Holdings, Inc.",388.85M,Industrials,Security & Protection Services,USA,-,-,45.22,1.08,1.17,-,-,-,-37.90%,-36.40%,-,-,-,629.50%,472.70%,0.20%,54.05%,48.50%,4.58%,2.26,-,-,-9.00%,16.9,16.7,0.05,0.05,27.60%,-,-,-15.28%,-46.54%,-55.50%,-74.75%,-42.83%,13.85%,-2.81%,-21.10%,-59.17%,-81.40%,52.87%,44.54,0.39,0.09,2.3,26,Industry 4.0,49.87,Mar 14/a,2.4,5.5
2462,EVLVW,"Evolv Technologies Holdings, Inc.",388.85M,Industrials,Security & Protection Services,USA,-,-,-,0.17,-,-,-,-,-,-,-,-,-,-,472.70%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-23.52%,-57.14%,-79.25%,-79.11%,-57.14%,30.93%,7.42%,-18.69%,-67.90%,-82.59%,139.17%,47.16,0.39,0.09,2.1,16,Industry 4.0,50.51,-,0.35,-
2475,EVTL,Vertical Aerospace Ltd.,1.48B,Industrials,Aerospace & Defense,United Kingdom,-,-,14256.92,1.01,2118.17,-,-,-,-,-,-,-,-,440.90%,34.70%,77.37%,0.00%,9.30%,-28.91%,0.92,-3.50%,-4.00%,-,0.3,0.3,0,0,-,-,-,4.87%,3.34%,-28.54%,-27.82%,5.65%,5.50%,-1.79%,-3.39%,-22.80%,-61.82%,11.92%,45.71,1.48,0.31,1.1,15,Industry 3.0,46.39,-,7.04,-
